homeTeam,awayTeam,league,drawOdds,awayOdds,homeOdds,Time,Date
Portland Thorns FC Women,Angel City FC Women,Football / USA / National Womens Soccer League,3.43,3.52,1.94,1:00 am,Mon 18/05
Inter San Carlos,Adr Jicaral,"Football / Costa Rica / Liga de Ascenso, Clausura",2.85,3.15,2.33,1:00 am,Mon 18/05
Cavalier FC,Montego Bay United,Football / Jamaica / Premier League,3.25,2.03,3.3,1:00 am,Mon 18/05
Metropolitanos FC,Deportivo Tachira,Football / Venezuela / Primera Division,3.01,2.82,2.48,1:00 am,Mon 18/05
Inter Miami CF,Portland Timbers,Football / USA / Major League Soccer,6.54,7.15,6.85,1:00 am,Mon 18/05
Barranquilla FC,Union Magdalena,Football / Colombia / Primera B,3.39,1.9,3.72,1:00 am,Mon 18/05
CA Paranaense PR,CR Flamengo RJ,Football / Brazil / Brasileiro Serie A,3.31,3.45,3.59,1:30 am,Mon 18/05
Spokane Velocity FC,Las Vegas Lights,Football / USA / USL League One Cup,3.45,2.1,3.0,2:00 am,Mon 18/05
Manta FC,CS Emelec,Football / Ecuador / LigaPro Primera A,3.18,3.08,2.99,2:00 am,Mon 18/05
SC Recife PE,CR Brasil AL,Football / Brazil / Brasileiro Serie B,3.17,3.17,3.17,2:30 am,Mon 18/05
Club Oriental de Football,La Luz FC,Football / Uruguay / Segunda Division,2.82,3.06,2.44,2:30 am,Mon 18/05
Guabira Montero,CA Nacional Potosi,Football / Bolivia / Division Profesional,3.79,3.59,1.83,2:30 am,Mon 18/05
Deportes Concepcion,CD Everton Vina del Mar,Football / Chile / Primera Division,3.14,2.7,2.56,3:00 am,Mon 18/05
Nashville SC,Los Angeles FC,Football / USA / Major League Soccer,3.54,3.2,3.37,3:00 am,Mon 18/05
Utah Royals FC Women,Racing Louisville FC Women,Football / USA / National Womens Soccer League,3.67,3.77,1.81,3:00 am,Mon 18/05
Independiente Yumbo,Aguilas Doradas Rionegro,Football / Colombia / Copa Colombia,3.04,2.19,3.28,3:30 am,Mon 18/05
Portmore United,Mount Pleasant FC,Football / Jamaica / Premier League,2.8,2.45,2.95,3:30 am,Mon 18/05
Bogota FC,Real Cartagena FC,Football / Colombia / Primera B,3.19,2.08,3.38,3:40 am,Mon 18/05
Vancouver FC,Cavalry FC,Football / Canada / Canadian Premier League,3.3,2.17,3.06,4:00 am,Mon 18/05
CD FAS Santa Ana,Municipal Limeno,"Football / El Salvador / Primera Division, Clausura",3.72,5.35,1.58,4:00 am,Mon 18/05
Pumas UNAM,CF Pachuca,"Football / Mexico / Primera Division, Clausura",3.53,2.61,3.07,4:00 am,Mon 18/05
South Melbourne FC,Caroline Springs George Cross FC,"Football / Australia / Victoria, NPL1",5.17,1.31,7.47,12:30 pm,Mon 18/05
Tanjong Pagar United,Hougang United FC,Football / Singapore / Premier League,5.13,1.37,6.08,2:30 pm,Mon 18/05
FC Shirak Gyumri,FC Urartu Yerevan,Football / Armenia / Premier League,4.04,1.53,5.58,4:00 pm,Mon 18/05
Talaea El Gaish,Pharco FC,Football / Egypt / Premier League,2.98,5.2,1.81,5:00 pm,Mon 18/05
Kerala Blasters FC,FC Goa,Football / India / Indian Super League,3.23,2.09,3.42,5:00 pm,Mon 18/05
Kahrabaa Ismailia,Haras El Hodood,Football / Egypt / Premier League,3.28,4.53,1.8,5:00 pm,Mon 18/05
Club Deportivo Magallanes Women,Deportes Recoleta Women,"Football / Chile / Primera Division, Women",4.49,5.73,1.44,6:00 pm,Mon 18/05
FC Lahti,Vaasan Palloseura,Football / Finland / Veikkausliiga,3.17,3.12,2.25,6:00 pm,Mon 18/05
Al Shabab,Al-Seeb,Football / Oman / Omani League,3.45,1.96,3.45,6:20 pm,Mon 18/05
Sohar,Saham,Football / Oman / Omani League,3.25,3.15,2.15,6:20 pm,Mon 18/05
Ibri,Dhofar SCSC,Football / Oman / Omani League,3.17,2.21,3.12,6:20 pm,Mon 18/05
Bahla Club,Al Nahda,Football / Oman / Omani League,3.16,2.01,3.63,6:20 pm,Mon 18/05
AL Nasr SC (OMA),Samail SC,Football / Oman / Omani League,3.45,4.41,1.74,6:20 pm,Mon 18/05
Al-Khaboora,Al-Rustaq,Football / Oman / Omani League,3.17,3.6,2.02,6:20 pm,Mon 18/05
Oman Club,Sur SC,Football / Oman / Omani League,3.12,3.26,2.16,6:20 pm,Mon 18/05
NK Samobor U19,GNK Dinamo Zagreb U19,Football / Croatia / U19 Prva NL Juniori,6.77,1.14,13.95,6:30 pm,Mon 18/05
SJK Akatemia/2,VPS Akatemia,Football / Finland / Kakkonen Playoffs,3.93,2.29,2.51,6:30 pm,Mon 18/05
FC Haka Valkeakoski,HJK Klubi 04,Football / Finland / Ykkosliiga,4.8,5.95,1.42,6:30 pm,Mon 18/05
Universidad de Concepcion Women,Colo Colo Women,"Football / Chile / Primera Division, Women",18.09,42.37,66.65,7:00 pm,Mon 18/05
HIFK,FC Kiffen,Football / Finland / Kakkonen Playoffs,4.52,5.11,1.48,7:00 pm,Mon 18/05
Puszcza Niepolomice,LKS Lodz,Football / Poland / I Liga,3.37,2.05,3.37,7:00 pm,Mon 18/05
AL Draih,Al-Jabalain,Football / Saudi Arabia / Division 1,4.78,6.5,1.38,7:05 pm,Mon 18/05
Abo IFK Turku,Nurmijarven Jalkapalloseura,Football / Finland / Kakkonen Playoffs,8.25,14.73,1.11,7:30 pm,Mon 18/05
FC Lokomotiv 1929 Sofia,PFC Slavia Sofia,Football / Bulgaria / Parva Liga,4.05,5.2,1.56,7:30 pm,Mon 18/05
PFC Montana 1921,FK Spartak 1918 Varna,Football / Bulgaria / Parva Liga,5.6,1.22,12.55,7:30 pm,Mon 18/05
PFC Dobrudzha Dobrich,POFC Botev Vratsa,Football / Bulgaria / Parva Liga,3.71,5.4,1.6,7:30 pm,Mon 18/05
PFK Beroe Stara Zagora,FK Septemvri Sofia,Football / Bulgaria / Parva Liga,3.24,2.8,2.42,7:30 pm,Mon 18/05
Al Mokawloon Al Arab,Wadi Degla SC,Football / Egypt / Premier League,2.83,3.65,2.21,8:00 pm,Mon 18/05
GIF Sundsvall,Landskrona BoIS,Football / Sweden / Superettan,3.41,2.19,3.03,8:00 pm,Mon 18/05
Ghazl El Mahallah,Al Ittihad Al Sakandary,Football / Egypt / Premier League,2.55,2.59,3.31,8:00 pm,Mon 18/05
MKS Arka Gdynia,Bruk-Bet Termalica Nieciecza,Football / Poland / Ekstraklasa,4.1,4.42,1.72,8:00 pm,Mon 18/05
Hapoel Jerusalem FC,Ironi Tiberias,Football / Israel / Premier League,3.28,3.14,2.19,8:00 pm,Mon 18/05
Maccabi Bney Reine,Maccabi Netanya FC,Football / Israel / Premier League,3.95,1.78,3.76,8:00 pm,Mon 18/05
Orgryte IS,IFK Goteborg,Football / Sweden / Allsvenskan,3.87,1.87,3.88,8:00 pm,Mon 18/05
Djurgardens IF,IK Sirius,Football / Sweden / Allsvenskan,3.69,2.9,2.3,8:00 pm,Mon 18/05
Hapoel Ironi Kiryat Shmona FC,MS Ashdod,Football / Israel / Premier League,3.46,2.84,2.28,8:00 pm,Mon 18/05
Angelholms FF,Kristianstad FC,"Football / Sweden / Ettan, Relegation/Promotion",3.46,3.32,1.96,8:00 pm,Mon 18/05
Laholms FK,FC Rosengaard 1917,"Football / Sweden / Ettan, Relegation/Promotion",3.78,1.68,4.16,8:00 pm,Mon 18/05
Hapoel Haifa FC,Bnei Sakhnin FC,Football / Israel / Premier League,3.6,4.23,1.77,8:00 pm,Mon 18/05
Ariana FC,Tvaakers IF,"Football / Sweden / Ettan, Relegation/Promotion",3.64,3.98,1.74,8:00 pm,Mon 18/05
IK Oddevold,Orebro SK,Football / Sweden / Superettan,3.56,3.42,1.97,8:05 pm,Mon 18/05
FC Farul Constanta,Metaloglobus Bucuresti,Football / Romania / Liga I,6.36,11.57,1.2,8:30 pm,Mon 18/05
FC Petrolul Ploiesti,ASC Otelul Galati,Football / Romania / Liga I,3.72,5.42,1.6,8:30 pm,Mon 18/05
HB Torshavn,Eb/Streymur,Football / Faroe Islands / Premier League,5.91,10.49,1.21,8:30 pm,Mon 18/05
FC Unirea 2004 Slobozia,FC Uta Arad,Football / Romania / Liga I,3.42,3.18,2.11,8:30 pm,Mon 18/05
AFC Hermannstadt,Fotbal Club FCSB,Football / Romania / Liga I,3.47,2.34,2.74,8:30 pm,Mon 18/05
AB Argir,Vikingur Gota,Football / Faroe Islands / Premier League,3.59,1.66,4.79,8:30 pm,Mon 18/05
AFC Eskilstuna,FC Arlanda,"Football / Sweden / Ettan, Relegation/Promotion",3.56,2.52,2.37,8:30 pm,Mon 18/05
AL Ula,Al-Orobah,Football / Saudi Arabia / Division 1,4.2,5.16,1.52,9:00 pm,Mon 18/05
EC Bahia BA U20,CA Paranaense PR U20,Football / Brazil / U20 Campeonato Brasileiro,3.73,3.73,1.77,9:00 pm,Mon 18/05
FC Aarau,Grasshopper Club Zurich,Football / Switzerland / Super League,3.61,3.1,2.22,9:15 pm,Mon 18/05
CS Barracas,Defensores de Cambaceres,Football / Argentina / Primera C,2.98,3.59,2.06,9:30 pm,Mon 18/05
CD Leganes,SD Huesca,Football / Spain / LaLiga 2,3.57,4.05,1.91,9:30 pm,Mon 18/05
CS Italiano,CSCD Laferrere,Football / Argentina / Primera B,2.94,4.63,1.91,9:30 pm,Mon 18/05
CA Defensores de Belgrano,CA Chaco For Ever,Football / Argentina / Primera Nacional,3.04,4.83,1.84,9:30 pm,Mon 18/05
CSDC Espanol,Club Mercedes,Football / Argentina / Primera C,2.98,3.88,1.97,9:30 pm,Mon 18/05
Waterford FC,Drogheda United FC,Football / Ireland / Premier Division,3.43,2.36,2.75,9:45 pm,Mon 18/05
Arsenal FC,Burnley FC,Football / England / Premier League,11.83,28.34,20.08,10:00 pm,Mon 18/05
Fylkir Reykjavik,IR Reykjavik,Football / Iceland / 1. deild,4.51,5.89,1.45,10:15 pm,Mon 18/05
Throttur Reykjavik,Leiknir Reykjavik,Football / Iceland / 1. deild,4.62,5.66,1.46,10:15 pm,Mon 18/05
Grotta,Afturelding,Football / Iceland / 1. deild,4.62,1.47,5.4,10:15 pm,Mon 18/05
HK Kopavogur,UMF Njardvik,Football / Iceland / 1. deild,3.83,2.6,2.3,10:15 pm,Mon 18/05
Envigado FC,Deportes Quindio,Football / Colombia / Primera B,3.14,4.1,1.9,11:00 pm,Mon 18/05
Criciuma EC SC Women,AE Realidade Jovem SP Women,"Football / Brazil / Brasileiro A3, Women",4.16,1.72,3.59,12:00 am,Tue 19/05
Deportivo Maldonado,Danubio FC,Football / Uruguay / Primera Division,3.23,3.77,1.98,12:30 am,Tue 19/05
AA Ponte Preta SP,Londrina EC PR,Football / Brazil / Brasileiro Serie B,3.04,3.48,2.15,1:00 am,Tue 19/05
Ferroviaria SP Women,EC Vitoria BA Women,"Football / Brazil / Campeonato Brasileiro, Women",10.0,35.0,1.03,1:00 am,Tue 19/05
AD Confianca SE,Maranhao AC MA,Football / Brazil / Brasileiro Serie C,3.11,3.93,1.94,2:00 am,Tue 19/05
CA All Boys,Deportivo Moron,Football / Argentina / Primera Nacional,2.6,3.03,2.74,2:00 am,Tue 19/05
