homeTeam,awayTeam,homeOdds,league,drawOdds,awayOdds,market,Time,Date
PSM Makassar,Persik Kediri,2.01,Football / Indonesia / Liga 1,3.23,3.66,88,11:30 am,Thu 23/04
Persita Tangerang,Bali United,2.33,Football / Indonesia / Liga 1,3.28,2.9,89,11:30 am,Thu 23/04
FC Astana Reserve YOUTH,Akademia Ontustyk,5.6,Football / Kazakhstan / Pervaya Liga,4.7,1.41,3,12:00 pm,Thu 23/04
Hellenic Athletic Club,Garuda FC,1.26,Football / Australia / Northern Territory Premier League,6.08,7.45,75,12:00 pm,Thu 23/04
FC Kairat Almaty Reserve YOUTH,Aktobe Reserve YOUTH,1.42,Football / Kazakhstan / Pervaya Liga,4.88,5.18,3,1:00 pm,Thu 23/04
Mindil Aces,Azzurri United FC,2.51,Football / Australia / Northern Territory Premier League,3.74,2.36,76,2:00 pm,Thu 23/04
FC Van Charentsavan,FC BKMA Yerevan,2.15,Football / Armenia / Premier League,3.33,3.18,87,2:30 pm,Thu 23/04
Difai Agsu,Sabail FK,7.75,Football / Azerbaijan / First Division,4.54,1.33,30,3:00 pm,Thu 23/04
Simal,Baku Sporting,8.88,Football / Azerbaijan / First Division,4.54,1.3,31,3:00 pm,Thu 23/04
Etimesgut Belediyespor,Kucukcekmece Sinop Spor,2.11,"Football / Turkey / 3. Lig, Group 1",3.4,3.0,1,3:00 pm,Thu 23/04
Malut United,Persebaya Surabaya,1.83,Football / Indonesia / Liga 1,3.56,3.95,88,3:00 pm,Thu 23/04
Melaka FC,Sabah FC,2.7,Football / Malaysia / Super League,3.4,2.3,53,3:15 pm,Thu 23/04
FC Zorya Luhansk,FC Shakhtar Donetsk,8.85,Football / Ukraine / Premier League,5.39,1.28,88,3:30 pm,Thu 23/04
IBV Vestmannaeyjar,KR Reykjavik,4.24,Football / Iceland / Besta deild,4.82,1.57,89,4:00 pm,Thu 23/04
Raya Ghazl SC,El Mansurah,3.04,Football / Egypt / 2nd Division,2.75,2.52,47,4:00 pm,Thu 23/04
El Dakhleya Sc,Baladiyyat AL Mehalla,4.1,Football / Egypt / 2nd Division,3.05,1.93,47,4:00 pm,Thu 23/04
Aswan SC,FC Masar,3.57,Football / Egypt / 2nd Division,3.09,2.06,48,4:00 pm,Thu 23/04
Maleyat Kafr El Zayat,El Qanah FC,4.22,Football / Egypt / 2nd Division,2.97,1.94,47,4:00 pm,Thu 23/04
Proxy SC,El Sekka El Hadid,2.57,Football / Egypt / 2nd Division,2.52,3.28,48,4:00 pm,Thu 23/04
El Terasanah,Asyut Petroleum,2.75,Football / Egypt / 2nd Division,2.85,2.66,48,4:00 pm,Thu 23/04
Sharjah FC,Al Wahda FC (UAE),3.14,Football / United Arab Emirates / Arabian Gulf League,3.47,2.11,89,5:00 pm,Thu 23/04
Esperance Sportive de Tunis,ES Zarzis,1.25,Football / Tunisia / Ligue 1,5.18,10.55,81,5:00 pm,Thu 23/04
FC Pyunik Yerevan,FC Urartu Yerevan,1.77,Football / Armenia / Premier League,3.58,4.25,86,5:00 pm,Thu 23/04
Ittihad Kalba FC,Baniyas Club,2.74,Football / United Arab Emirates / Arabian Gulf League,3.37,2.39,89,5:00 pm,Thu 23/04
Bursa Yildirim SK,Corluspor 1947,2.8,"Football / Turkey / 3. Lig, Group 1",3.3,2.26,1,5:00 pm,Thu 23/04
Duhok FC,Al-Gharraf SC,2.11,Football / Iraq / Iraqi League,3.15,3.34,83,5:00 pm,Thu 23/04
Navbahor,PFC Sogdiana,1.59,Football / Uzbekistan / Superliga,3.75,4.9,52,5:00 pm,Thu 23/04
PFC Nasaf,Lokomotiv Tashkent,2.22,Football / Uzbekistan / Superliga,2.95,3.25,52,5:00 pm,Thu 23/04
FK Radnicki Nis,FK Javor Ivanjica,1.97,Football / Serbia / Superliga,3.22,3.8,86,5:00 pm,Thu 23/04
Kerala Blasters FC,Odisha FC,1.77,Football / India / Indian Super League,3.51,4.33,88,5:00 pm,Thu 23/04
FC Bihor Oradea,ACS Sepsi OSK Sfantu Gheorghe,3.05,Football / Romania / Liga 2,3.2,2.18,24,5:15 pm,Thu 23/04
FK Akron Tolyatti,FC Dynamo-Makhachkala,2.47,Football / Russian Federation / Premier League,3.19,3.01,101,5:30 pm,Thu 23/04
